    date        open    close   high    low     volume  money
2022-06-16  4777.0  4776.0  4855.0  4742.0  824.0   5.901274e+07
2022-06-17  4778.0  4828.0  4838.0  4764.0  74.0    5.326410e+06
2022-06-20  4825.0  4761.0  4825.0  4730.0  77.0    5.519340e+06
2022-06-21  4772.0  4734.0  4778.0  4725.0  166.0   1.183473e+07
2022-06-22  4785.0  4700.0  4817.0  4696.0  112.0   7.965375e+06
2022-06-23  4757.0  4709.0  4757.0  4683.0  98.0    6.928155e+06
2022-06-24  4701.0  4575.0  4716.0  4550.0  237.0   1.642161e+07
2022-06-27  4575.0  4695.0  4695.0  4516.0  747.0   5.148286e+07
2022-06-28  4695.0  4666.0  4695.0  4616.0  692.0   4.859914e+07
2022-06-29  4662.0  4587.0  4666.0  4570.0  147.0   1.014152e+07
2022-06-30  4616.0  4580.0  4644.0  4564.0  73.0    5.025225e+06
2022-07-01  4566.0  4407.0  4574.0  4407.0  407.0   2.734988e+07
2022-07-04  4353.0  4383.0  4420.0  4336.0  295.0   1.940338e+07
2022-07-05  4377.0  4442.0  4480.0  4354.0  180.0   1.199790e+07
2022-07-06  4415.0  4287.0  4415.0  4215.0  1038.0  6.774576e+07
2022-07-07  4301.0  4300.0  4331.0  4233.0  1932.0  1.243642e+08
2022-07-08  4308.0  4294.0  4341.0  4269.0  480.0   3.102346e+07
2022-07-11  4275.0  4282.0  4322.0  4264.0  531.0   3.419662e+07
2022-07-12  4295.0  4251.0  4299.0  4205.0  729.0   4.655319e+07
2022-07-13  4248.0  4246.0  4266.0  4218.0  209.0   1.329926e+07
2022-07-14  4228.0  4246.0  4332.0  4217.0  351.0   2.253189e+07
2022-07-15  4189.0  4069.0  4189.0  4069.0  830.0   5.124927e+07
2022-07-18  4142.0  4202.0  4207.0  4130.0  475.0   2.967490e+07
2022-07-19  4202.0  4185.0  4231.0  4148.0  3299.0  2.078799e+08
2022-07-20  4177.0  4188.0  4209.0  3780.0  660.0   4.089642e+07
2022-07-21  4200.0  4174.0  4279.0  4168.0  637.0   4.038006e+07
2022-07-22  4222.0  4225.0  4245.0  4189.0  793.0   5.020472e+07
2022-07-25  4229.0  4195.0  4262.0  4158.0  390.0   2.469171e+07
2022-07-26  4190.0  4193.0  4206.0  4153.0  291.0   1.824234e+07
2022-07-27  4193.0  4209.0  4235.0  4190.0  243.0   1.537212e+07
2022-07-28  4238.0  4361.0  4369.0  4191.0  586.0   3.779758e+07
2022-07-29  4389.0  4497.0  4513.0  4380.0  1441.0  9.593462e+07
2022-08-01  4488.0  4482.0  4527.0  4451.0  977.0   6.582510e+07
2022-08-02  4511.0  4498.0  4545.0  4470.0  783.0   5.299776e+07
2022-08-03  4518.0  4446.0  4533.0  4410.0  1335.0  8.988826e+07
2022-08-04  4486.0  4461.0  4488.0  4433.0  399.0   2.668652e+07
2022-08-05  4450.0  4509.0  4521.0  4450.0  624.0   4.199774e+07
2022-08-08  4400.0  4438.0  4439.0  4365.0  767.0   5.063724e+07
2022-08-09  4500.0  4567.0  4577.0  4488.0  715.0   4.871436e+07
2022-08-10  4560.0  4526.0  4575.0  4512.0  706.0   4.798485e+07
2022-08-11  4538.0  4539.0  4585.0  4520.0  1018.0  6.940724e+07
2022-08-12  4520.0  4524.0  4546.0  4475.0  557.0   3.774980e+07
2022-08-15  4530.0  4573.0  4628.0  4518.0  1003.0  6.869300e+07
2022-08-16  4500.0  4498.0  4518.0  4462.0  699.0   4.707092e+07
2022-08-17  4465.0  4477.0  4498.0  4449.0  443.0   2.978055e+07
2022-08-18  4448.0  4373.0  4452.0  4370.0  1041.0  6.876346e+07
2022-08-19  4409.0  4336.0  4419.0  4313.0  802.0   5.246115e+07
2022-08-22  4323.0  4297.0  4338.0  4270.0  816.0   5.267624e+07
2022-08-23  4274.0  4309.0  4350.0  4265.0  1894.0  1.219644e+08
2022-08-24  4300.0  4344.0  4369.0  4289.0  1819.0  1.177776e+08
2022-08-25  4344.0  4373.0  4384.0  4322.0  2201.0  1.437991e+08
2022-08-26  4355.0  4358.0  4366.0  4342.0  1069.0  6.979770e+07
2022-08-29  4338.0  4279.0  4399.0  4262.0  2045.0  1.326188e+08
2022-08-30  4293.0  4288.0  4320.0  4280.0  1982.0  1.276275e+08
2022-08-31  4280.0  4241.0  4287.0  4233.0  1666.0  1.064883e+08
2022-09-01  4186.0  4155.0  4215.0  4135.0  3269.0  2.046859e+08
2022-09-02  4152.0  4199.0  4206.0  4144.0  2475.0  1.554314e+08
2022-09-05  4211.0  4225.0  4245.0  4194.0  1170.0  7.410038e+07
2022-09-06  4232.0  4269.0  4276.0  4219.0  952.0   6.069198e+07
2022-09-07  4264.0  4217.0  4264.0  4160.0  1355.0  8.549514e+07
2022-09-08  4225.0  4279.0  4290.0  4210.0  847.0   5.414217e+07
2022-09-09  4267.0  4348.0  4356.0  4258.0  1465.0  9.473032e+07
2022-09-13  4527.0  4486.0  4599.0  4456.0  1857.0  1.249072e+08
2022-09-14  4426.0  4424.0  4477.0  4388.0  2290.0  1.521027e+08
2022-09-15  4457.0  4416.0  4474.0  4415.0  2240.0  1.493850e+08
2022-09-16  4444.0  4383.0  4460.0  4368.0  3098.0  2.047447e+08
2022-09-19  4397.0  4424.0  4463.0  4376.0  3336.0  2.213842e+08
2022-09-20  4426.0  4444.0  4475.0  4408.0  3780.0  2.518069e+08
2022-09-21  4425.0  4462.0  4469.0  4388.0  3388.0  2.249862e+08
2022-09-22  4500.0  4490.0  4520.0  4452.0  5496.0  3.698958e+08
2022-09-23  4538.0  4560.0  4573.0  4511.0  5738.0  3.913066e+08
2022-09-26  4478.0  4380.0  4488.0  4360.0  7441.0  4.941197e+08
2022-09-27  4407.0  4378.0  4435.0  4329.0  3466.0  2.279756e+08
2022-09-28  4388.0  4310.0  4399.0  4301.0  6931.0  4.528050e+08
2022-09-29  4343.0  4413.0  4438.0  4329.0  5480.0  3.605555e+08
2022-09-30  4390.0  4440.0  4445.0  4366.0  4627.0  3.053929e+08
2022-10-10  4586.0  4557.0  4591.0  4516.0  7671.0  5.241875e+08
2022-10-11  4599.0  4537.0  4599.0  4527.0  5029.0  3.435883e+08
2022-10-12  4542.0  4504.0  4554.0  4475.0  6458.0  4.363866e+08
2022-10-13  4480.0  4456.0  4492.0  4450.0  8486.0  5.691771e+08
2022-10-14  4411.0  4469.0  4475.0  4401.0  10446.0 6.951822e+08
2022-10-17  4439.0  4389.0  4451.0  4374.0  14052.0 9.296015e+08
2022-10-18  4439.0  4440.0  4449.0  4407.0  7731.0  5.133172e+08
2022-10-19  4441.0  4407.0  4449.0  4401.0  8329.0  5.529606e+08
2022-10-20  4399.0  4388.0  4417.0  4377.0  10384.0 6.843692e+08
2022-10-21  4412.0  4401.0  4457.0  4391.0  11576.0 7.671609e+08
2022-10-24  4408.0  4559.0  4573.0  4404.0  19348.0 1.310407e+09
2022-10-25  4560.0  4593.0  4594.0  4544.0  15921.0 1.091814e+09
2022-10-26  4545.0  4640.0  4647.0  4531.0  27542.0 1.905992e+09
2022-10-27  4606.0  4580.0  4626.0  4578.0  18690.0 1.290745e+09
2022-10-28  4588.0  4592.0  4625.0  4588.0  21149.0 1.461555e+09
2022-10-31  4577.0  4545.0  4595.0  4512.0  22573.0 1.540147e+09
2022-11-01  4545.0  4655.0  4662.0  4515.0  37766.0 2.603390e+09
2022-11-02  4672.0  4658.0  4706.0  4623.0  39823.0 2.785067e+09
2022-11-03  4675.0  4598.0  4713.0  4590.0  44715.0 3.116543e+09
2022-11-04  4522.0  4651.0  4669.0  4522.0  43598.0 3.012893e+09
2022-11-07  4720.0  4767.0  4788.0  4714.0  56192.0 4.001326e+09
2022-11-08  4777.0  4831.0  4878.0  4769.0  72395.0 5.240652e+09
2022-11-09  4840.0  4975.0  5020.0  4835.0  104722.0    7.767716e+09
2022-11-10  4965.0  4952.0  5031.0  4925.0  82159.0 6.117590e+09
2022-11-11  4942.0  5029.0  5065.0  4942.0  137471.0    1.035942e+10
2022-11-14  4988.0  4914.0  5005.0  4889.0  102090.0    7.586009e+09
2022-11-15  4931.0  4994.0  5020.0  4926.0  82580.0 6.175777e+09
2022-11-16  4994.0  4957.0  5028.0  4915.0  94959.0 7.074247e+09
2022-11-17  4998.0  4950.0  5011.0  4910.0  99640.0 7.406495e+09
2022-11-18  4920.0  4899.0  4926.0  4858.0  109047.0    8.005598e+09
2022-11-21  4901.0  4844.0  4915.0  4826.0  96725.0 7.057000e+09
2022-11-22  4834.0  4878.0  4907.0  4827.0  99564.0 7.278013e+09
2022-11-23  4900.0  4904.0  4911.0  4862.0  69748.0 5.108710e+09
2022-11-24  4910.0  4990.0  5018.0  4893.0  141563.0    1.053184e+10
2022-11-25  5000.0  4983.0  5001.0  4961.0  91635.0 6.849167e+09
2022-11-28  4979.0  4966.0  5000.0  4944.0  126260.0    9.399586e+09
2022-11-29  4980.0  4959.0  5037.0  4932.0  211781.0    1.580062e+10
2022-11-30  4960.0  4949.0  4994.0  4947.0  131764.0    9.815264e+09
2022-12-01  4982.0  5129.0  5137.0  4970.0  258128.0    1.955280e+10
2022-12-02  5124.0  5248.0  5266.0  5111.0  260823.0    2.024006e+10
2022-12-05  5209.0  5259.0  5378.0  5164.0  411023.0    3.245483e+10
2022-12-06  5240.0  5128.0  5256.0  5120.0  289585.0    2.246641e+10
2022-12-07  5160.0  5119.0  5168.0  5091.0  197223.0    1.516427e+10
2022-12-08  5128.0  5184.0  5193.0  5112.0  202091.0    1.563793e+10
2022-12-09  5184.0  5277.0  5306.0  5181.0  240787.0    1.898337e+10
2022-12-12  5271.0  5327.0  5377.0  5267.0  286494.0    2.281605e+10
2022-12-13  5328.0  5346.0  5363.0  5271.0  204757.0    1.634917e+10
2022-12-14  5335.0  5432.0  5465.0  5331.0  336338.0    2.730284e+10
2022-12-15  5400.0  5309.0  5455.0  5272.0  280012.0    2.252388e+10
2022-12-16  5290.0  5230.0  5327.0  5185.0  339418.0    2.679015e+10
2022-12-19  5226.0  5248.0  5297.0  5195.0  247937.0    1.952144e+10
2022-12-20  5248.0  5247.0  5281.0  5195.0  222780.0    1.751084e+10
2022-12-21  5334.0  5395.0  5459.0  5308.0  300986.0    2.429695e+10
2022-12-22  5399.0  5345.0  5434.0  5333.0  211498.0    1.712637e+10
2022-12-23  5350.0  5319.0  5371.0  5265.0  218990.0    1.744903e+10
2022-12-26  5326.0  5353.0  5370.0  5310.0  184900.0    1.481146e+10
2022-12-27  5354.0  5419.0  5435.0  5338.0  170048.0    1.371788e+10
2022-12-28  5409.0  5388.0  5432.0  5360.0  226631.0    1.834578e+10
2022-12-29  5374.0  5319.0  5388.0  5285.0  238365.0    1.906415e+10
2022-12-30  5345.0  5397.0  5409.0  5345.0  220041.0    1.776915e+10
2023-01-03  5397.0  5426.0  5440.0  5340.0  201111.0    1.626670e+10
2023-01-04  5405.0  5373.0  5444.0  5343.0  262768.0    2.124531e+10
2023-01-05  5364.0  5233.0  5409.0  5231.0  396645.0    3.170074e+10
2023-01-06  5202.0  5178.0  5226.0  5143.0  376092.0    2.922604e+10
2023-01-09  5175.0  5280.0  5302.0  5170.0  427955.0    3.364668e+10
2023-01-10  5270.0  5208.0  5286.0  5185.0  312556.0    2.454913e+10
2023-01-11  5199.0  5272.0  5284.0  5183.0  354114.0    2.779528e+10
2023-01-12  5260.0  5215.0  5267.0  5155.0  573028.0    4.474947e+10
2023-01-13  5245.0  5225.0  5295.0  5196.0  779092.0    6.125998e+10
2023-01-16  5194.0  5329.0  5367.0  5181.0  794529.0    6.294812e+10
2023-01-17  5299.0  5311.0  5362.0  5270.0  525749.0    4.196383e+10
2023-01-18  5314.0  5309.0  5342.0  5274.0  643008.0    5.118929e+10
2023-01-19  5333.0  5165.0  5350.0  5144.0  1024926.0   8.065121e+10
2023-01-20  5171.0  5311.0  5320.0  5126.0  857724.0    6.725500e+10
2023-01-30  5247.0  5243.0  5267.0  5208.0  243401.0    1.910680e+10
2023-01-31  5240.0  5185.0  5253.0  5171.0  514247.0    4.025571e+10
2023-02-01  5147.0  5222.0  5239.0  5143.0  567882.0    4.435874e+10
2023-02-02  5207.0  5305.0  5351.0  5169.0  864671.0    6.820730e+10
2023-02-03  5364.0  5197.0  5397.0  5182.0  1274557.0   1.008307e+11
2023-02-06  5200.0  5026.0  5205.0  5005.0  1326967.0   1.011334e+11
2023-02-07  5026.0  5008.0  5034.0  4984.0  729592.0    5.480903e+10
2023-02-08  5000.0  4993.0  5023.0  4963.0  866594.0    6.494144e+10
2023-02-09  5013.0  5002.0  5026.0  4977.0  684643.0    5.134742e+10
2023-02-10  5003.0  4928.0  5046.0  4901.0  1128205.0   8.412224e+10
2023-02-13  4951.0  4939.0  4979.0  4920.0  746178.0    5.538725e+10
2023-02-14  4950.0  4953.0  4958.0  4916.0  540187.0    4.004213e+10
2023-02-15  4922.0  4912.0  4966.0  4894.0  1111933.0   8.220752e+10
2023-02-16  4888.0  4918.0  4943.0  4876.0  696389.0    5.125282e+10
2023-02-17  4914.0  4879.0  4936.0  4870.0  716961.0    5.274010e+10
2023-02-20  4881.0  4965.0  4982.0  4877.0  854180.0    6.305862e+10
2023-02-21  4957.0  4964.0  4988.0  4954.0  414318.0    3.089709e+10
2023-02-22  4972.0  4989.0  5017.0  4968.0  680003.0    5.095689e+10
2023-02-23  5007.0  4961.0  5016.0  4952.0  554422.0    4.140756e+10
2023-02-24  4966.0  4944.0  4980.0  4933.0  652929.0    4.850228e+10
2023-02-27  4924.0  4870.0  4939.0  4852.0  814501.0    5.992632e+10
2023-02-28  4878.0  4875.0  4895.0  4863.0  492845.0    3.608847e+10
2023-03-01  4870.0  4935.0  4944.0  4863.0  676221.0    4.976101e+10
2023-03-02  4924.0  4890.0  4935.0  4885.0  646690.0    4.766421e+10
2023-03-03  4890.0  4931.0  4942.0  4878.0  586635.0    4.318831e+10
2023-03-06  4933.0  4978.0  4986.0  4918.0  701806.0    5.213469e+10
2023-03-07  4971.0  4948.0  4982.0  4944.0  435238.0    3.241650e+10
2023-03-08  4930.0  4781.0  4934.0  4756.0  1056827.0   7.668705e+10
2023-03-09  4797.0  4783.0  4814.0  4773.0  600322.0    4.314741e+10
